Crime Books and Storage,,,,,,,
,,,,,,,
,Author (Surname),Author (First Name),Title,Detective,Series,Year,Box
,Burley,W.J.,Wycliffe and the Tangled Web,Wycliffe,,,S
,Burley,W.J.,Wycliffe and the Three-Toed Pussy,Wycliffe,,,T
,Burley,W.J.,Wycliffe and the Widsor Blue,Wycliffe,,,S
,Burley,W.J.,Wycliffe and the Wild Goose Chase,Wycliffe,,,S
,Burley,W.J.,Wycliffe In Paul's Court,Wycliffe,,,S
,Burley,W.J.,Wyliffe and How to Kill a Cat,Wycliffe,,,R
,Camilleri,Andrea,The Shape of Water,Montalbano,1,,R
,Camilleri,Andrea,The Terracotta Dog,Montalbano,2,,C
,Camilleri,Andrea,The Snack Thief,Montalbano,3,,R
,Camilleri,Andrea,The Voice of the Violin,Montalbano,4,,C
,Camilleri,Andrea,Excursion to Tindari,Montalbano,5,,C
,Camilleri,Andrea,The Scent of the Night,Montalbano,6,,C
,Camilleri,Andrea,Rounding the Mark,Montalbano,7,,C
,Camilleri,Andrea,The Patience of the Spider,Montalbano,8,,U
,Camilleri,Andrea,The Paper Moon,Montalbano,9,,U
,Camilleri,Andrea,August Heat,Montalbano,10,,K
,Camilleri,Andrea,The Wings of the Sphinx,Montalbano,11,,P
,Camilleri,Andrea,The Track of Sand,Montalbano,12,,
,Camilleri,Andrea,The Potter's Field,Montalbano,13,,
,Camilleri,Andrea,The Age of Doubt,Montalbano,14,,
,Camilleri,Andrea,The Treasure Hunt,Montalbano,15,,
,Cardetti,Raphael,Death in the Latin Quarter,,,,
,Carr,Caleb,The Italian Secretary,,,,R
,Carr,John Dickinson,It Walks by Night,,,,C
,Carr,John Dickinson,The Hollow Man (2x),,,,E
,Carrisi,Donato,The Lost Girls of Rome,,,,
,Carver,Tania,The Surrogate,Phil Brennan,1,2009,
,Carver,Tania,The Creeper,Phil Brennan,2,2010,
,Carver,Tania,Cage of Bones,Phil Brennan,3,2011,
,Carver,Tania,Choked,Phil Brennan,4,,
,Carver,Tania,The Doll's House,Phil Brennan,5,,
,Carver,Tania,Truth or Dare,Phil Brennan,6,2014,
,Caudwell,Sarah,Thus Was Adonis Murdered,Hilary Tamar,1,1981,
,Caudwell,Sarah,The Shortest Way to Hades,Hilary Tamar,2,1984,
,Caudwell,Sarah,The Sirens Sang of Murder,Hilary Tamar,3,1989,
,Chandler,Glenn,Dead Sight,,,,S
