Crime Books and Storage,,,,,,,
,,,,,,,
,Author (Surname),Author (First Name),Title,Detective,Series,Year,Box
,Grafton,Sue,N is for Noose*1,Kinsey Millhone,,,U
,Grafton,Sue,Q is for Quarry,Kinsey Millhone,,,
,Grafton,Sue,R is for Ricochet,Kinsey Millhone,,,
,Grafton,Sue,S is for Silence,Kinsey Millhone,,,
,Grafton,Sue,T is for Trespass,Kinsey Millhone,,,
,Grafton,Sue,U is for Undertow,Kinsey Millhone,,,
,Granger,Ann,Cold in th Earth,,,,T
,Granger,Ann,Say It With Poison,,,,F
,Granger,Ann,That Way Murder Lies,,,,S
,Grecian,Alex,The Yard,Day and Hammersmith,1,,
,Grecian,Alex,The Black Country,Day and Hammersmith,2,,
,Greenwood,D.M.,Clerical Errors,,,,D
,Greenwood,D.M.,Unholy Ghosts,,,,K
,Greenwood,Kerry,Cocaine Blues,,,,C
,Greenwood,Kerry,Flying Too High,,,,C
,Greenwood,Kerry,Murder on a Midsummer Night,,,,B
,Gregory,Susanna,A Plague on Both Your Houses,Matthew Bartholomew,1,,C
,Gregory,Susanna,A Bone of Contention,Matthew Bartholomew,3,,E
,Gregory,Susanna,A Deadly Brew,Matthew Bartholomew,4,,E
,Gregory,Susanna,A Wicked Deed,Matthew Bartholomew,5,,C
,Gregory,Susanna,An Order for Death,Matthew Bartholomew,7,,D
,Gregory,Susanna,A Summer of Discontent,Matthew Bartholomew,8,,D
,Gregory,Susanna,A Killer In Winter,Matthew Bartholomew,9,,
,Gregory,Susanna,The Hand of Justice,Matthew Bartholomew,10,,T
,Gregory,Susanna,The Mark of a Murderer,Matthew Bartholomew,11,,C
,Gregory,Susanna,The Tarnished Chalice,Matthew Bartholomew,12,,C
,Gregory,Susanna,To Kill or Cure,Matthew Bartholomew,13,,U
,Gregory,Susanna,The Devil's Disciple,Matthew Bartholomew,14,,T
,Gregory,Susanna,A Vein of Deceit,Matthew Bartholomew,15,,M
,Gregory,Susanna,The Killer of Pilgrims,Matthew Bartholomew,16,,P
,Gregory,Susanna,Mystery in the Minster,Matthew Bartholomew,17,,
,Gregory,Susanna,Murder by the Book,Matthew Bartholomew,18,,
,Gregory,Susanna,The Lost Abbot,Matthew Bartholomew,19,,
,Gregory,Susanna,Death of a Scholar,Matthew Bartholomew,20,,
,Gregory,Susanna,A Conspiracy of Violence,Thomas Chaloner,1,,C
,Gregory,Susanna,Blood on the Strand,Thomas Chaloner,2,,C
,Gregory,Susanna,The Butcher of Smithfield,Thomas Chaloner,3,,T
,Gregory,Susanna,The Westminster Poisoner,Thomas Chaloner,4,,B
,Gregory,Susanna,A Murder on London Bridge,Thomas Chaloner,5,,P
,Gregory,Susanna,The Body in the Thames,Thomas Chaloner,6,,
,Gregory,Susanna,The Picadilly Plot,Thomas Chaloner,7,,
,Gregory,Susanna,Deat in St James's Park,Thomas Chaloner,8,,
,Gregory,Susanna,Murder on High Holborn,Thomas Chaloner,9,2013,
,Griffiths,Elly,The Crossing Places,Ruth Galloway,1,2009,
,Griffiths,Elly,The Janus Stone,Ruth Galloway,2,2010,
,Griffiths,Elly,The House at Sea's End,Ruth Galloway,3,2011,
,Griffiths,Elly,A Room Full of Bones,Ruth Galloway,4,2011,
,Griffiths,Elly,A Dying Fall,Ruth Galloway,5,2012,
,Griffiths,Elly,The Outcast Dead,Ruth Galloway,6,2014,C
,Grimes,Martha,I Am The Only Running Footman,,,,F
,Grimes,Martha,The Dirty Duck,,,,D
,Grinold,Lucretia,The Faces of Angels,,,,R
,Grisham,John,The Firm,,,,G
,Hall,M.R.,The Chosen Dead,Jenny Cooper,,,
,Harding,Paul,By Murder's Bright Light,Brother Anselm,,,L
,Harding,Paul,Murder Most Holy,Brother Anselm,,,L
,Harding,Paul,The Anger of God,Brother Anselm,,,L
,Harding,Paul,The House of the Red Slayer,Brother Anselm,,,L
,Harding,Paul,The Nightingale Gallery,Brother Anselm,,,L
,Harding,Paul,The Assassin's Riddle,,,,S
,Harding,Paul,The House of Crows,,,,S
,Hardwick,Mollie,Malice Domestic,,,,K
,Hardwick,Mollie,Parson's Pleasure,,,,L
,Hardwick,Mollie,The Bandersnatch,,,,K
,Hardwick,Mollie,Uneaseful Death,,,,K
,Harris,Tessa,The Anatomist's Apprentice,,,2012,
,Harris,Tessa,The Dead Shall Not Rise,,,2013,
,Harris,Tessa,The Devil's Breath,,,2014,
,Hay,Mavis Doriel,The Santa Klaus Murder,,,1936,
,Hayder,Mo,Birdman,Jack Caffery,1,,M
,Hayder,Mo,The Treatment,Jack Caffery,2,,M
,Hayder,Mo,Ritual,Jack Caffery,3,,M
,Hayder,Mo,Skin,Jack Caffery,4,,M
,Hayder,Mo,Gone,Jack Caffery,5,,P
,Hayder,Mo,Poppet,Jack Caffery,6,,
,Hayder,Mo,Wolf,Jack Caffery,7,2014,
,Hayder,Mo,Devil of Manking,,,,P
,Hayder,Mo,Hanging Hill,,,,
,Hayder,Mo,Pig Island,,,,P
,Hayes,Terry,I am Pilgrim,,,,
,Hewson,David,The Villa of Mysteries,,,,
,Higgins-Clark,Mary,The Christmas Collection,,,,R
,Highsmith,Domini,Keeper at the Shrine,,,,G
,Highsmith,Patricia,A Suspension of Mercy,,,,
,Hill,Reginald,Singing the Sadness,,,,C
,Hill,Susan,The Pure in Heart,Serrailler,,,R
,Hill,Susan,The Risk of Darkness,Serrailler,,,B
,Hill,Susan,The Risk of Darkness,Serrailler,,,T
,Hill,Susan,The Shadows in the Streets,Serrailler,,,Q
,Hill,Susan,The Various Haunts of Men,Serrailler,,,R
,Hill,Susan,The Vows of Silence,Serrailler,,,B
,Hodgson,Antonia,The Devil in the Marshalsea,Tom Hawkins,1,2014,
,Hoeg,Peter,Miss Smilla's Feeling for Snow,,,,G
,Holm,Timothy,At the Lake of Sudden Death,,,,K
,Holm,Timothy,The Assisi Murders,,,,K
,Holm,Timothy,The Devil and the Dolce Vita,,,,K
,Holm,Timothy,The Neaploitan Streak,,,,K
,Holme,Timothy,A Funeral of Gondolas,,,,R
,Horan,Ellen,31 Bond Street,,,,P
,Iles,Francis,Before the Fact,,,,Q
,Indridason,Arnaldur,Jar City,Erlandur,1,2004,
,Indridason,Arnaldur,Silence of the Grave,Erlandur,2,2006,
,Indridason,Arnaldur,Voices,Erlandur,3,2006,
,Indridason,Arnaldur,The Draining Lake,Erlandur,4,2007,
,Indridason,Arnaldur,Arctic Chill,Erlandur,5,2008,
,Indridason,Arnaldur,Hypothermia,Erlandur,6,2009,
,Indridason,Arnaldur,Black Skies,Sigurdur Oli,,,
,Innes,Michael,Death at the President's Lodgings*1,,,,K
,Innes,Michael,"Hamlet, Revenge!*1",,,,K
,Innes,Michael,Operation Pax*2,,,,K
,Innes,Michael,The Daffodil Affair*1,,,,K
,Innes,Michael,The Journeying Box*2,,,,K
,Innes,Michael,The Man From the Sea*2,,,,K
,James,P.D.,A Mind to Murder,Dalgliesh,,,K
,James,P.D.,Cover Her Face,Dalgliesh,,,K
,James,P.D.,Death In Holy Orders,Dalgliesh,,,G
,James,P.D.,Death of an Expert Witness,Dalgliesh,,,K
,James,P.D.,Innocent Blood,Dalgliesh,,,I
,James,P.D.,Innocent Blood,Dalgliesh,,,K
,James,P.D.,Original Sin,Dalgliesh,,,G
,James,P.D.,Shroud for a Nightingale,Dalgliesh,,,K
,James,P.D.,The Black Tower,Dalgliesh,,,K
,James,P.D.,The Lighthouse,Dalgliesh,,,U
,James,P.D.,The Murder Room,Dalgliesh,,,D
,James,P.D.,The Private Patient,Dalgliesh,,,B
,James,P.D.,The Skull Beneath the Skin,Dalgliesh,,,K
,James,P.D.,Unnatural Causes,Dalgliesh,,,K
,James,P.D.,An Unsuitable Job for a Woman,,,,K
,James,P.D.,Death Comes to Pemberley,,,,
,James,Peter,Want You Dead,Roy Grace,10,2014,
,James,Peter,Dead Like You,Roy Grace,,,P
,James,Peter,Dead Man's Footsteps,Roy Grace,,,U
,James,Peter,Dead Man's Grip,Roy Grace,,,
,James,Peter,Dead Man's Time,Roy Grace,,,
,James,Peter,Dead Simple,Roy Grace,,,R
,James,Peter,Dead Tomorrow,Roy Grace,,,T
,James,Peter,Looking Good Dead,Roy Grace,,,U
,James,Peter,Not Dead Enough,Roy Grace,,,T
,James,Peter,Dreamer,,,,T
,Jecks,Michael,The Last Templar,Sir Baldwin de Furnshill,1,,C
,Jecks,Michael,The Merchant's Partner,Sir Baldwin de Furnshill,2,,C
,Jecks,Michael,A Moorland Hanging,Sir Baldwin de Furnshill,3,,C
,Jecks,Michael,The Crediton Killings,Sir Baldwin de Furnshill,4,,N
,Jecks,Michael,The Abbot's Gibbet,Sir Baldwin de Furnshill,5,,N
,Jecks,Michael,The Leper's Return,Sir Baldwin de Furnshill,6,,N
,Jecks,Michael,Squire Thornleigh's Heir,Sir Baldwin de Furnshill,7,,N
,Jecks,Michael,Belladonna at Belstone,Sir Baldwin de Furnshill,8,,N
,Jecks,Michael,The Trator of Saint Giles,Sir Baldwin de Furnshill,9,,N
,Jecks,Michael,The Boy-Bishop's Glovemaker,Sir Baldwin de Furnshill,10,,C
,Jecks,Michael,The Boy-Bishop's Glovemaker,Sir Baldwin de Furnshill,10,,N
,Jecks,Michael,The Tournament of Blood,Sir Baldwin de Furnshill,11,,N
,Jecks,Michael,The Sticklepath Strangler,Sir Baldwin de Furnshill,12,,C
,Jecks,Michael,The Devil's Acolyte,Sir Baldwin de Furnshill,13,,N
,Jecks,Michael,The Mad Monk of Gidleigh,Sir Baldwin de Furnshill,14,,N
,Jecks,Michael,The Templar's Penance,Sir Baldwin de Furnshill,15,,N
,Jecks,Michael,The Oulaws of Ennor,Sir Baldwin de Furnshill,16,,N
,Jecks,Michael,The Tolls of Death,Sir Baldwin de Furnshill,17,,N
,Jecks,Michael,The Chapel of Bones,Sir Baldwin de Furnshill,18,,N
,Jecks,Michael,The Butcher of Saint Peter's,Sir Baldwin de Furnshill,19,,N
,Jecks,Michael,A Friar's Bloodfeud,Sir Baldwin de Furnshill,20,,N
,Jecks,Michael,The Death Ship of Dartmouth,Sir Baldwin de Furnshill,21,,N
,Jecks,Michael,The Malice of Unnatural Death,Sir Baldwin de Furnshill,22,,T
,Jecks,Michael,Dispensation of Death,Sir Baldwin de Furnshill,23,,Q
,Jecks,Michael,"The Templar, The Queen and Her Lover",Sir Baldwin de Furnshill,24,,T
,Jecks,Michael,The Prophecy of Death,Sir Baldwin de Furnshill,25,,Q
,Jecks,Michael,The King of Thieves,Sir Baldwin de Furnshill,26,,
,Jecks,Michael,No Law in the Land,Sir Baldwin de Furnshill,27,,Q
,Jecks,Michael,The Bishop Must Die (2x),Sir Baldwin de Furnshill,28,,Q
,Jecks,Michael,The Oath,Sir Baldwin de Furnshill,29,,P
,Jecks,Michael,King's Gold,Sir Baldwin de Furnshill,30,2011,
,Jecks,Michael,City of Fiends,Sir Baldwin de Furnshill,31,2013,
,Kallentoft,Mons,Midwinter Sacrifice,Malin Fors,1,,
,Kallentoft,Mons,Savage Spring,Malin Fors,2,,J
,Kallentoft,Mons,Autumn Killin,Malin Fors,3,2012,
,Kellerman,Faye,Jupiter's Bones,,,,E
,Kellerman,Faye,The Quality of Mercy,,,,H
,Kerr,Philip,If the Dead Rise Not,Bernie Gunther,,,
,Kerr,Philip,January Window,Scott Manson,,,
,King,Laurie R.,Touchstone,Harris Stuyvessant,1,,
,King,Laurie R.,The Bones of Paris,Harris Stuyvessant,2,,
,King,Laurie R.,The Beekeeper's Apprentice,Mary Russell & Sherlock Holmes,1,1994,M
,King,Laurie R.,A Monstrous Regiment of Women,Mary Russell & Sherlock Holmes,2,1995,
,King,Laurie R.,A Letter Of Mary,Mary Russell & Sherlock Holmes,3,,
,King,Laurie R.,The Moor,Mary Russell & Sherlock Holmes,4,,
,King,Laurie R.,O Jerusalem,Mary Russell & Sherlock Holmes,5,1999,
,King,Laurie R.,Justice Hall,Mary Russell & Sherlock Holmes,6,2002,
,King,Laurie R.,The Game,Mary Russell & Sherlock Holmes,7,2004,M
,King,Laurie R.,Locked Rooms,Mary Russell & Sherlock Holmes,8,2005,M
,King,Laurie R.,The Language of Bees,Mary Russell & Sherlock Holmes,9,2009,M
,King,Laurie R.,The God of the Hive,Mary Russell & Sherlock Holmes,10,2010,
,King,Laurie R.,Pirate King,Mary Russell & Sherlock Holmes,11,2011,
,King,Laurie R.,Garment of Shadows,Mary Russell & Sherlock Holmes,12,,
,King,Ross,Ex Libris,,,,E
,Knight,Alanna,Murders Most Foul,Faro,,,
,Knight,Alanna,The Seal King Murders,Faro,,,
,Knight,Alanna,Deadly Legacy,Rose McQuinn,,,
,Knight,Bernard,The Sanctuary Seeker,Crowner John,1,1998,E
,Knight,Bernard,The Poisoned Chalice,Crowner John,2,1998,E
,Knight,Bernard,Crowner's Quest,Crowner John,3,1999,E
,Knight,Bernard,The Awful Secret,Crowner John,4,2000,E
,Knight,Bernard,The Tinner's Corpse,Crowner John,5,2001,E
,Knight,Bernard,The Grim Reaper,Crowner John,6,2002,C
,Knight,Bernard,Fear in the Forest,Crowner John,7,2003,E
,Knight,Bernard,The Witch Hunter,Crowner John,8,2004,E
,Knight,Bernard,Figure of Hate,Crowner John,9,2005,E
,Knight,Bernard,The Elixir of Death,Crowner John,10,2006,R
,Knight,Bernard,The Noble Outlaw,Crowner John,11,2007,T
,Knight,Bernard,The Manor of Death,Crowner John,12,2008,T
,Knight,Bernard,Crowner Royal,Crowner John,13,2009,M
,Knight,Bernard,A Plague of Heretics,Crowner John,14,2010,Q
,Lackberg,Camilla,The Ice Princess,Hedström,1,,P
,Lackberg,Camilla,The Preacher,Hedström,2,,P
,Lackberg,Camilla,The Stone Cutter,Hedström,3,,P
,Lackberg,Camilla,The Stranger,Hedström,4,,
,Lackberg,Camilla,The Hidden Child,Hedström,5,,P
,Lackberg,Camilla,The Drowning,Hedström,6,,
,Lackberg,Camilla,The Lost Boy,Hedström,7,,
,Larsson,Stieg,The Girl With The Dragon Tattoo,,1,,M
,Larsson,Stieg,The Girl Who Played With Fire,,2,,M
,Larsson,Stieg,The Girl Who Kicked the Hornet's Nest,,3,,M
,Lawrence,Paul,The Sweet Smell of Decay,Harry Lytle,1,,
,Lawrence,Paul,A Plague of Sinners,Harry Lytle,2,,M
,Lawrence,Paul,Hearts of Darkness,Harry Lytle,3,,
,Lovesey,Peter,Bertie and the Crime of Passion,"Albert Edward, Prince of Wales",,,M
,Lovesey,Peter,Bertie and the Seven Bodies,"Albert Edward, Prince of Wales",,,M
,Lovesey,Peter,Bertie and the Tin Man,"Albert Edward, Prince of Wales",,,M
,Lovesey,Peter,A Case of Spirits,Cribbe,,,M
,Lovesey,Peter,Abracadaver,Cribbe,,,M
,Lovesey,Peter,Invitation to a Dynamite Party,Cribbe,,,M
,Lovesey,Peter,Mad Hatter's Holiday,Cribbe,,,M
,Lovesey,Peter,The Detective Wore Silk Drawers,Cribbe,,,M
,Lovesey,Peter,Wobble to Death,Cribbe,,,M
,Lovesey,Peter,The Circle,Hen Malin,1,,R
,Lovesey,Peter,The Headhunters,Hen Malin,2,,M
,Lovesey,Peter,The Stone Wife,Peter Diamond,14,2015,
,Lovesey,Peter,Bloodhounds,Peter Diamond,,,G
,Lovesey,Peter,Cop to Corpse,Peter Diamond,,,
,Lovesey,Peter,Diamond Dust,Peter Diamond,,,G
,Lovesey,Peter,Diamond Solitaire,Peter Diamond,,,G
,Lovesey,Peter,Do Not Exceed Stated Dose,Peter Diamond,,,G
,Lovesey,Peter,Skeleton Hill,Peter Diamond,,,
,Lovesey,Peter,Stagestruck,Peter Diamond,,,
,Lovesey,Peter,The House Sitter,Peter Diamond,,,D
,Lovesey,Peter,The Last Detective,Peter Diamond,,,D
,Lovesey,Peter,The Reaper,Peter Diamond,,,G
,Lovesey,Peter,The Secret Hangman,Peter Diamond,,,U
,Lovesey,Peter,The Summons,Peter Diamond,,,G
,Lovesey,Peter,The Tooth Tattoo,Peter Diamond,,,C
,Lovesey,Peter,The Vault,Peter Diamond,,,G
,Lovesey,Peter,Upon A Dark Night,Peter Diamond,,,G
,Lovesey,Peter,Keystone,,,,M
,Lovesey,Peter,The False Inspector Dew,,,,M
,Luther,Peter,Dark Covenant,,,,U
,Luther,Peter,The Mourning Vessels,,,,U
,MacLean,Shona,A Game of Sorrows,Alexander Seaton,,,
,MacLean,Shona,The Redemption of Alexander Seaton,Alexander Seaton,,,
,Maitland,Karen,The Vanishing Witch,,,2015,
,Maitland,Karen,Company of Liars,,,,U
,Maitland,Karen,The Gallows Curse,,,,
,Maitland,Karen,The Owl Killers,,,,J
,Marston,Edward,The Wolves of Savernake,Domesday,1,1993,E
,Marston,Edward,The Ravens of Blackwater,Domesday,2,1994,E
,Marston,Edward,The Owls of Gloucester,Domesday,10,2000,S
,Marston,Edward,The Elephants of Norwich,Domesday,11,2000,S
,Marston,Edward,The Queen's Head,Elizabethan Theatre,1,1988,E
,Marston,Edward,The Merry Devils,Elizabethan Theatre,2,1989,E
,Marston,Edward,The Trip to Jersualem,Elizabethan Theatre,3,1990,E
,Marston,Edward,The Nine Giants,Elizabethan Theatre,4,1991,E
,Marston,Edward,The Mad Courtesan,Elizabethan Theatre,5,1992,E
,Marston,Edward,The Silent Woman,Elizabethan Theatre,6,1994,
,Marston,Edward,The Roaring Boy,Elizabethan Theatre,7,1995,
,Marston,Edward,The Laughing Hangman,Elizabethan Theatre,8,1996,
,Marston,Edward,The Fair Maid of Bohemia,Elizabethan Theatre,9,1997,
,Marston,Edward,The Wanton Angel,Elizabethan Theatre,10,1999,
,Marston,Edward,The Devil's Apprentice,Elizabethan Theatre,11,2001,
,Marston,Edward,The Bawdy Basket,Elizabethan Theatre,12,2002,
,Marston,Edward,The Vagabond Clown,Elizabethan Theatre,13,2003,
,Marston,Edward,The Counterfiet Crank,Elizabethan Theatre,14,2004,
,Marston,Edward,A Bespoke Murder,Marmion & Keedy,1,,
,Marston,Edward,Instrument of Slaughter,Marmion & Keedy,2,,
,Marston,Edward,Five Dead Canaries,Marmion & Keedy,3,2013,
,Marston,Edward,The King's Evil,Redmayne,1,1999,M
,Marston,Edward,The Amorous Nightingale,Redmayne,2,2000,Q
,Marston,Edward,The Repentant Rake,Redmayne,3,2001,Q
,Marston,Edward,The Frost Fair,Redmayne,4,2003,I
,Marston,Edward,The Parliament House,Redmayne,5,2006,S
,Marston,Edward,The Painted Lady,Redmayne,6,2007,S
,Marston,Edward,The Railway Detective,Robert Colbeck,1,2004,S
,Marston,Edward,The Excursion Train,Robert Colbeck,2,2005,S
,Marston,Edward,The Railway Viaduct,Robert Colbeck,3,2006,S
,Marston,Edward,The Iron Horse,Robert Colbeck,4,2007,U
,Marston,Edward,Murder on the Brighton Express,Robert Colbeck,5,2008,S
,Marston,Edward,The Silver Locomotive Mystery,Robert Colbeck,6,2009,K
,Marston,Edward,Railway to the Grave,Robert Colbeck,7,2010,Q
,Marston,Edward,Blood on the Line,Robert Colbeck,8,2011,
,Marston,Edward,The Stationmaster's Farewell,Robert Colbeck,9,2012,
,Marston,Edward,Peril on the Royal Train,Robert Colbeck,10,2013,
,Marston,Edward,A Ticket to Oblivion,Robert Colbeck,11,2015,
,Marston,Edward,Inspector Colbeck's Casebook,Robert Colbeck,,2014,
,Martin,Andrew,Death on a Branch Line,Jim Stringer,,,U
,Martin,Andrew,Murder at Deviation Junction,Jim Stringer,,,C
,Martin,Andrew,The Blackpool Flyer,Jim Stringer,,,C
,Martin,Andrew,The Last Train to Scarborough,Jim Stringer,,,K
,Martin,Andrew,The Lost Luggage Porter,Jim Stringer,,,C
,Martin,Andrew,The Necropolis Railway,Jim Stringer,,,R
,Martin,Andrew,The Somme Stations,Jim Stringer,,,
,Martinez,Guillermo,The Oxford Murders,,,,S
,May,Peter,The Black House,Fin Macleod,1,,
,May,Peter,The Lewis Man,Fin Macleod,2,,
,May,Peter,The Chess Men,Fin Macleod,3,,
,McDermid,Val,Common Murder,,,,R
,McDermid,Val,Killing the Shadows,,,,C
,McDermid,Val,The Wire in the Blood,,,,H
,McDermid,Val,Trick of the Dark,,,,P
,McKay,Shirley,Huw & Cry,Hew Cullan,,2009,
,McKay,Shirley,Fate & Fortune,Hew Cullan,,2011,
,McKintosh,Pat,The Harper's Quine,,,,T
,McKintosh,Pat,The Merchant's Mark,,,,T
,McKintosh,Pat,The Nicholas Feast,,,,T
,Medieval Murderers,,Hill of Bones,,,,
,Medieval Murderers,,King Arthur's Bones,,,,J
,Medieval Murderers,,The House of Shadows,,,,T
,Medieval Murderers,,The Lost Prophecies,,,,T
,Medieval Murderers,,The Sacred Stone,,,,Q
,Medieval Murderers,,The Sword of Shame,,,,S
,Medieval Murderers,,The Tainted Relic,,,,S
,Meredith,D.E.,Devoured,Hatton and Roumande,,,J
,Meyers,Richard S,Murder in Halruaa,Fantasy Mysteries,3,,*
,Mills,Mark,The Savage Garden,,,,U
,Mitchell,Gladys,The Devil at Saxon Wall,,,,F
,Morson,Ian,Falconer's Crusade,,,,U
,Morson,Ian,Flaconer's Judgement,,,,F
,Morton,Mandy,The No 2 Feline Detective Agency,Hettie Bagshot,1,2104,
,Nadel,Barbara,Balshazzar's Daughter,Cetin Ikmen,,,A
,Nesbo,Jo,The Bat,Harry Hole,1,,
,Nesbo,Jo,Nemesis,Harry Hole,,,Q
,Nesbo,Jo,Police,Harry Hole,,,
,Nesbo,Jo,The Devil's Star,Harry Hole,,,Q
,Nesbo,Jo,The Leopard,Harry Hole,,,P
,Nesbo,Jo,The Redbreast,Harry Hole,,,Q
,Nesbo,Jo,The Redeemer,Harry Hole,,,B
,Nesbo,Jo,The Snowman,Harry Hole,,,Q
,Nesbo,Jose Carlos,Cockroaches,Harry Hole,,1998,
,Nesser,Hakan,The Inspector and Silence,Van Veeteren,,,
,Newton,Mark Charan,Drakenfeld,Lucan Drakenfeld,,2014,
,Oswald,James,Natural Causes,Inspector McLean,1,,
,Oswald,James,The Book of Souls,Inspector McLean,2,,
,Oswald,James,The Hangman's Song,Inspector McLean,,,
,Paige,Robin,Death at Bishop's Keep,Sir Charles Sheridan,1,,N
,Paige,Robin,Death at Gallows Green,Sir Charles Sheridan,2,,N
,Paige,Robin,Death at Daisy's Folly,Sir Charles Sheridan,3,,N
,Paige,Robin,Death at Devil's Bridge,Sir Charles Sheridan,4,,N
,Paige,Robin,Death at Rottingdean,Sir Charles Sheridan,5,,N
,Paige,Robin,Death at Whitechapel (2x),Sir Charles Sheridan,6,,N
,Paige,Robin,Death at Epsom Downs,Sir Charles Sheridan,7,,N
,Paige,Robin,Death at Dartmoor,Sir Charles Sheridan,8,,N
,Paige,Robin,Death at Glamis Castle,Sir Charles Sheridan,9,,N
,Paige,Robin,Death in Hyde Park,Sir Charles Sheridan,10,,N
,Paige,Robin,Death on the Lizard,Sir Charles Sheridan,12,,T
,Paine,Michael,Cities of the Dead,Howard Carter,,,J
,Patterson,James,The Jester,,,,R
,Pearl,Matthew,The Dante Club,,,,D
,Pearl,Matthew,The Last Dickens,,,,B
,Pearl,Matthew,The Rose Shadow,,,,T
,Pearle,Michael,The Camel of Destruction,,,,F
,Pears,Iain,An Instance of the Fingerpost,,,,H
,Pears,Iain,Stone's Fall,,,,J
,Penman,Sharon,Cruel as the Grave,,,,R
,Penman,Sharon,Dragon's Lair,,,,R
,Penman,Sharon,The Queen's Man,,,,R
,Penn,John,A Knife Ill-Used*1,,,,G
,Penn,John,Death's Long Shadow*1,,,,G
,Penny,Louise,Still Life,Armand Gamache,1,,
,Penny,Louise,Dead Cold,Armand Gamache,2,,
,Penny,Louise,The Cruellest Month,Armand Gamache,3,,
,Penny,Louise,The Brutal Telling,Armand Gamache,4,,
,Penny,Louise,The Murder Stone,Armand Gamache,5,,
,Penny,Louise,Bury Your Dead,Armand Gamache,6,,Q
,Penny,Louise,A Trick of the Light,Armand Gamache,7,,
,Penny,Louise,The Beautiful Mystery,Armand Gamache,8,,
,Penny,Louise,How The Light Gets In,Armand Gamache,9,2013,
,Pepper,Andrew,Kill-Devill and Water,Pyke,,,B
,Pepper,Andrew,The Detective Branch,Pyke,,,P
,Pepper,Andrew,The Last Days of Newgate,Pyke,,,T
,Pepper,Andrew,The Revenge of Captain Payne,Pyke,,,U
,Peters,Elizabeth,Crocodile on the Sandbank,Amelia Peabody,1,1975,E
,Peters,Elizabeth,The Curse of the Pharoahs,Amelia Peabody,2,1981,E
,Peters,Elizabeth,The Mummy Case,Amelia Peabody,3,1985,C
,Peters,Elizabeth,Lion in the Valley,Amelia Peabody,4,1986,C
,Peters,Elizabeth,The Death of the Disturber,Amelia Peabody,5,1988,C
,Peters,Elizabeth,The Falcon at the Portal,Amelia Peabody,11,1999,C
,Peters,Elizabeth,The Murder of Richard III,Jaqueline Kirby,2,1974,C
,Peters,Ellis,A Morbid Taste for Bones,Cadfael,1,1977,L
,Peters,Ellis,One Corpse Too Many,Cadfael,2,1979,L
,Peters,Ellis,Monk's Hood,Cadfael,3,1980,L
,Peters,Ellis,Saint Peter's Fair,Cadfael,4,1981,L
,Peters,Ellis,The Leper of Saint Giles,Cadfael,5,1981,L
,Peters,Ellis,The Virgin in the Ice,Cadfael,6,1982,L
,Peters,Ellis,The Sanctuary Sparrow,Cadfael,7,1982,L
,Peters,Ellis,The Devil's Novice,Cadfael,8,1983,L
,Peters,Ellis,Dead Man's Ransom,Cadfael,9,1984,L
,Peters,Ellis,The Pilgrim of Hate,Cadfael,10,1984,L
,Peters,Ellis,An Excellent Mystery,Cadfael,11,1985,L
,Peters,Ellis,The Raven in the Foregate,Cadfael,12,1986,L
,Peters,Ellis,The Rose Rent,Cadfael,13,1986,L
,Peters,Ellis,The Hermit of Eyton Forest,Cadfael,14,1987,L
,Peters,Ellis,The Confession of Brother Haluin,Cadfael,15,1988,L
,Peters,Ellis,The Heretic's Apprentice,Cadfael,16,1989,L
,Peters,Ellis,The Potter's Field,Cadfael,17,1989,L
,Peters,Ellis,The Summer of the Danes,Cadfael,18,1991,H
,Peters,Ellis,The Holy Thief,Cadfael,19,1992,H
,Peters,Ellis,Brother Cadfael's Penance,Cadfael,20,1994,L
,Peters,Ellis,Fallen into the Pit,Felse,1,1951,L
,Peters,Ellis,A Nice Derangment of Epitaphs,Felse,4,1965,D
,Peters,Ellis,A Nice Derangment of Epitaphs,Felse,4,1965,L
,Peters,Ellis,The Piper on the Mountain,Felse,5,1966,L
,Peters,Ellis,Black is the Colour of My True Love's Heart,Felse,6,1967,L
,Peters,Ellis,Mourning Raga,Felse,9,1969,L
,Peters,Ellis,The Knocker on Death's Door,Felse,10,1970,L
,Peters,Ellis,Death to the Landlords,Felse,11,1972,L
,Peters,Ellis,City of Gold and Shadows,Felse,12,1973,L
,Peters,Ellis,Funeral of Figaro,,,1962,L
,Phillips,Christi,The Devil's Diary,,,,B
,Plampin,Matthew,The Devil's Acre,,,,Q
,Pryce,Malcolm,Aberwystwyth Mon Amour,,,,E
,Pryce,Malcolm,Don't Cry for me Aberwystwyth,,,,C
,Pryce,Malcolm,Last Tango in Aberwystwyth,,,,C
,Pryce,Malcolm,The Unbearable Lightness of Being in Aberwystwyth,,,,C
,Purser,Ann,Fear on Friday,,,,C
,Purser,Ann,Murder on Monday,,,,S
,Purser,Ann,Secrets on Saturday,,,,B
,Purser,Ann,Sorrow on Sunday,,,,B
,Purser,Ann,Terror on Tuesday,,,,S
,Purser,Ann,Theft on Thursday,,,,S
,Purser,Ann,Weeping on Wednesday,,,,S
,Rankin,Ian,A Question of Blood,Rebus,,,D
,Rankin,Ian,Black and Blue*2,Rebus,,,S
,Rankin,Ian,Dead Souls,Rebus,,,F
,Rankin,Ian,Doors Open,Rebus,,,B
,Rankin,Ian,Exit Music,Rebus,,,T
,Rankin,Ian,Fleshmarket Close,Rebus,,,D
